1	1	4047	01/08/2016	31/12/2022	MXN	7	1		
2	1	7501217500114		60.0000	5 				
2	1	7501217500121		79.0000	5 				
2	1	7501217500190		21.2400	5 				
2	1	7501217500398		15.0000	5 				
2	1	7501217500817		15.1100	5 				
2	1	7501217500824		21.0000	5 				
2	1	7501217500886		13.2600	5 				
2	1	7501217500947		50.0000	5 				
2	1	7501217500954		53.7300	5 				
2	1	7501217500961		88.0000	5 				
2	1	7501217500978		63.0000	5 				
2	1	7501217501043		20.0000	5 				
2	1	7501217501067		50.0000	5 				
2	1	7501217501074		35.0000	5 				
2	1	7501217501081		40.0000	5 				
2	1	7501217501098		45.0000	5 				
2	1	7501217501388		26.0000	5 				
2	1	7501217501395		29.0000	5 				
2	1	7501217501517		18.0000	5 				
2	1	7501217501586		63.0000	5 				
2	1	7501217501616		22.0000	5 				
2	1	7501217501654		21.0000	5 				
2	1	7501217501678		30.0000	5 				
2	1	7501217501739		32.0000	5 				
2	1	7501217502002		22.0000	5 				
2	1	7501217502019		28.0000	5 				
2	1	7501217502026		37.0000	5 				
2	1	7501217502040		31.0000	5 				
2	1	7501217502064		63.0000	5 				
2	1	7501217502347		61.0000	5 				
2	1	7501217502392		71.0000	5 				
2	1	7501217502705		165.0000	5 				
2	1	7501217502781		122.0000	5 				
2	1	7501217502903		129.0000	5 				
2	1	7501217502910		85.0000	5 				
2	1	7501217503450		25.0000	5 				
2	1	7501217503467		43.0000	5 				
2	1	7501217503504		13.4600	5 				
2	1	7501217503511		14.6000	5 				
2	1	7501217503566		87.0000	5 				
2	1	7501217504006		79.8600	5 				
2	1	7501217505201		70.0000	5 				
2	1	7501217506451		61.0000	5 				
2	1	7501217506703		44.0000	5 				
2	1	7501217506741		50.0000	5 				
2	1	7501217506758		54.0000	5 				
2	1	7501217506765		41.0000	5 				
2	1	7501217506789		43.0000	5 				
2	1	7501217507748		55.0000	5 				
2	1	7501217507755		55.0000	5 				
2	1	7501217507762		55.0000	5 				
2	1	7501217508349		55.0000	5 				
2	1	7501217508356		55.0000	5 				
2	1	7501217508363		55.0000	5 				
2	1	7501217508370		61.0000	5 				
2	1	7501217508387		61.0000	5 				
2	1	7501217508394		61.0000	5 				
2	1	7501217509506		50.0000	5 				
2	1	7501217509568		39.0000	5 				
2	1	7501217509599		57.0000	5 				
2	1	7501217509674		70.0000	5 				
2	1	7501217500343		55.0000	5 				
2	1	7501217500800		39.6000	5 				
2	1	7501217500916		22.0000	5 				
2	1	7501217501104		29.0000	5 				
2	1	7501217501111		39.0000	5 				
2	1	7501217501128		88.0000	5 				
2	1	7501217501135		81.0000	5 				
2	1	7501217501180		32.2800	5 				
2	1	7501217501197		38.0000	5 				
2	1	7501217501456		30.2198	5 				
2	1	7501217501470		40.3233	5 				
2	1	7501217501500		15.0000	5 				
2	1	7501217501524		21.0000	5 				
2	1	7501217501548		33.0000	5 				
2	1	7501217501555		21.4442	5 				
2	1	7501217501562		24.0000	5 				
2	1	7501217501609		35.0000	5 				
2	1	7501217501937		27.0000	5 				
2	1	7501217501975		48.0000	5 				
2	1	7501217501999		32.0000	5 				
2	1	7501217502316		55.0000	5 				
2	1	7501217502330		36.5400	5 				
2	1	7501217502385		63.0000	5 				
2	1	7501217502408		109.0000	5 				
2	1	7501217502415		60.0000	5 				
2	1	7501217502422		18.0000	5 				
2	1	7501217502439		39.6000	5 				
2	1	7501217502477		55.0000	5 				
2	1	7501217503498		47.0000	5 				
2	1	7501217503665		130.0000	5 				
2	1	7501217503672		160.0000	5 				
2	1	7501217504518		24.0000	5 				
2	1	7501217504532		32.0000	5 				
2	1	7501217504655		31.0000	5 				
2	1	7501217506000		42.0000	5 				
2	1	7501217506017		52.0000	5 				
2	1	7501217506024		69.3000	5 				
2	1	7501217506239		60.0000	5 				
2	1	7501217506611		51.9191	5 				
2	1	7501217506635		72.6000	5 				
2	1	7501217509544		80.0800	5 				
2	1	7501217509551		44.3300	5 				
2	1	7501217509582		57.0000	5 				
2	1	7501217521973		61.0000	5 				
2	1	7501217531972		87.0000	5 				
